id,from_account,to_account,amount,currency_code,executed_at,status
355,14,4,573.92,AUD,2026-01-12T09:38:00,COMPLETED
638,14,18,15686.58,SGD,2026-01-10T13:35:00,COMPLETED
508,13,2,3300.0,JPY,2026-01-10T11:43:00,COMPLETED
971,4,6,16703.11,CAD,2026-01-11T11:32:00,COMPLETED
329,16,15,2017.23,SGD,2026-01-11T11:23:00,COMPLETED
738,13,15,15069.16,EUR,2026-01-10T14:18:00,COMPLETED
389,14,16,8341.83,SGD,2026-01-11T10:05:00,COMPLETED
277,19,8,14441.93,SGD,2026-01-10T16:40:00,FAILED
771,2,8,10398.12,CAD,2026-01-12T08:35:00,COMPLETED
973,5,16,15257.36,CHF,2026-01-12T08:05:00,COMPLETED
520,12,9,11732.14,SGD,2026-01-10T15:03:00,PENDING
560,10,18,10463.6,EUR,2026-01-10T10:31:00,COMPLETED
664,15,11,13799.75,USD,2026-01-12T11:24:00,COMPLETED
89,11,1,16999.03,SGD,2026-01-10T14:23:00,PENDING
610,3,1,16999.27,USD,2026-01-12T17:25:00,FAILED
1004,12,6,12957.65,USD,2026-01-12T14:48:00,COMPLETED
825,8,18,3222.45,SGD,2026-01-11T09:21:00,COMPLETED
82,9,3,9432.62,USD,2026-01-11T11:41:00,COMPLETED
506,4,1,4876.66,SGD,2026-01-12T15:11:00,COMPLETED
350,15,16,4601.36,CAD,2026-01-11T10:43:00,COMPLETED
803,11,13,12548.89,GBP,2026-01-12T17:24:00,COMPLETED
359,16,3,7254.44,JPY,2026-01-12T15:38:00,PENDING
18,11,4,5905.33,GBP,2026-01-11T08:46:00,FAILED
227,13,12,5110.32,USD,2026-01-11T09:22:00,COMPLETED
686,18,10,18183.02,SGD,2026-01-12T11:51:00,COMPLETED
64,7,17,9490.06,GBP,2026-01-12T09:18:00,COMPLETED
588,12,17,16066.19,SGD,2026-01-11T08:18:00,PENDING
527,1,2,10698.96,AUD,2026-01-10T13:48:00,COMPLETED
725,6,18,8061.07,AUD,2026-01-12T10:34:00,COMPLETED
342,2,3,8135.3,CAD,2026-01-12T15:03:00,PENDING
695,6,4,5678.19,GBP,2026-01-12T15:46:00,COMPLETED
603,3,10,13450.12,CHF,2026-01-10T11:46:00,COMPLETED
385,5,17,7799.84,GBP,2026-01-12T14:27:00,COMPLETED
1,4,1,14843.93,JPY,2026-01-10T10:47:00,COMPLETED
414,5,4,11812.0,CAD,2026-01-11T14:20:00,COMPLETED
835,2,1,14081.91,AUD,2026-01-10T12:55:00,COMPLETED
759,5,19,10850.01,JPY,2026-01-10T12:44:00,FAILED
772,17,2,3837.51,SGD,2026-01-11T12:49:00,COMPLETED
493,5,20,5194.83,EUR,2026-01-10T14:35:00,COMPLETED
234,13,11,19475.79,SGD,2026-01-12T15:23:00,COMPLETED
834,17,13,16960.35,CHF,2026-01-10T13:57:00,COMPLETED
357,8,19,10446.04,CAD,2026-01-10T10:17:00,COMPLETED
939,18,15,13557.41,EUR,2026-01-12T14:12:00,COMPLETED
625,9,6,10356.98,CAD,2026-01-12T17:40:00,COMPLETED
737,11,18,11320.01,AUD,2026-01-12T11:09:00,COMPLETED
888,15,8,18517.23,USD,2026-01-10T09:50:00,PENDING
278,20,13,2998.13,JPY,2026-01-10T17:44:00,COMPLETED
448,11,5,1869.7,JPY,2026-01-11T14:32:00,COMPLETED
576,10,2,18533.37,CAD,2026-01-11T13:35:00,COMPLETED
475,11,15,277.34,JPY,2026-01-10T09:22:00,COMPLETED
461,19,8,19480.9,EUR,2026-01-10T11:17:00,COMPLETED
16,14,20,1317.38,CAD,2026-01-12T15:33:00,COMPLETED
72,9,17,9717.71,JPY,2026-01-11T15:04:00,FAILED
435,2,13,1425.08,SGD,2026-01-11T12:20:00,COMPLETED
770,13,20,18785.83,USD,2026-01-12T09:28:00,COMPLETED
739,5,11,1696.77,USD,2026-01-12T14:16:00,COMPLETED
489,14,19,4588.88,USD,2026-01-11T16:26:00,COMPLETED
364,9,13,7332.06,JPY,2026-01-12T16:11:00,PENDING
577,1,9,4101.59,SGD,2026-01-10T13:48:00,COMPLETED
102,10,5,12775.5,SGD,2026-01-10T08:36:00,COMPLETED
399,8,13,9814.7,CHF,2026-01-12T14:24:00,COMPLETED
170,18,7,8629.9,JPY,2026-01-11T13:52:00,COMPLETED
880,1,2,6818.74,AUD,2026-01-12T08:25:00,COMPLETED
9002,7,3,5120.40,GBP,2026-01-12T15:47:00
239,13,12,10286.07,GBP,2026-01-10T10:54:00,COMPLETED
193,6,3,10234.14,EUR,2026-01-12T16:12:00,FAILED
179,10,11,7052.92,GBP,2026-01-10T17:42:00,COMPLETED
562,7,15,16499.86,JPY,2026-01-12T13:06:00,FAILED
857,18,8,7627.03,CAD,2026-01-11T12:09:00,COMPLETED
952,12,17,14672.5,USD,2026-01-11T10:37:00,COMPLETED
522,13,17,6002.2,USD,2026-01-10T10:12:00,COMPLETED
850,20,1,5771.97,EUR,2026-01-10T16:04:00,COMPLETED
367,5,14,15792.08,EUR,2026-01-11T17:30:00,COMPLETED
365,18,1,19062.44,SGD,2026-01-12T11:28:00,COMPLETED
402,12,3,15923.77,CAD,2026-01-10T14:52:00,COMPLETED
147,5,18,17535.39,AUD,2026-01-12T16:58:00,COMPLETED
375,7,17,9684.37,SGD,2026-01-10T15:46:00,PENDING
101,12,6,6080.24,GBP,2026-01-11T08:03:00,COMPLETED
909,17,2,8542.67,CAD,2026-01-11T09:28:00,COMPLETED
885,8,3,16098.85,CAD,2026-01-11T14:20:00,COMPLETED
942,15,18,1797.59,SGD,2026-01-12T14:51:00,COMPLETED
568,5,14,12070.36,CHF,2026-01-12T16:55:00,COMPLETED
774,15,3,14466.8,EUR,2026-01-10T17:57:00,PENDING
142,4,8,7658.22,AUD,2026-01-12T12:44:00,COMPLETED
198,17,3,6242.64,SGD,2026-01-10T08:23:00,COMPLETED
330,14,2,11272.37,JPY,2026-01-12T10:01:00,COMPLETED
667,7,14,14029.22,AUD,2026-01-11T14:17:00,COMPLETED
311,13,3,13670.47,GBP,2026-01-12T13:07:00,COMPLETED
257,11,19,871.83,USD,2026-01-10T08:41:00,FAILED
135,2,20,1414.99,CHF,2026-01-10T09:27:00,COMPLETED
917,15,20,865.44,AUD,2026-01-10T16:45:00,COMPLETED
210,17,18,16710.64,USD,2026-01-12T13:56:00,FAILED
919,16,19,17429.07,JPY,2026-01-12T11:20:00,COMPLETED
139,5,8,9249.94,CHF,2026-01-11T12:42:00,COMPLETED
71,15,6,14885.93,SGD,2026-01-11T12:48:00,COMPLETED
9001,4,11,127O4.55,EUR,2026-01-11T09:12:00,COMPLETED
90,15,5,8737.97,CHF,2026-01-12T16:49:00,COMPLETED
549,15,2,1313.55,AUD,2026-01-10T16:49:00,FAILED
555,15,19,8989.57,SGD,2026-01-11T13:07:00,COMPLETED
420,18,6,15266.38,EUR,2026-01-10T17:04:00,COMPLETED
905,8,10,12092.54,GBP,2026-01-12T16:54:00,COMPLETED
966,4,20,4147.75,JPY,2026-01-10T13:01:00,COMPLETED
990,12,10,6443.63,USD,2026-01-12T08:08:00,COMPLETED
232,16,9,780.58,JPY,2026-01-11T13:55:00,FAILED
81,11,7,9121.25,AUD,2026-01-11T12:48:00,COMPLETED
112,6,10,11921.13,CHF,2026-01-11T09:29:00,PENDING
567,8,9,7987.51,AUD,2026-01-11T15:51:00,COMPLETED
982,1,4,14769.08,EUR,2026-01-11T08:11:00,COMPLETED
992,12,14,7057.82,JPY,2026-01-10T11:41:00,COMPLETED
730,7,11,482.94,CHF,2026-01-12T16:35:00,COMPLETED
777,6,4,1869.27,SGD,2026-01-12T13:05:00,COMPLETED
428,9,6,7468.8,CHF,2026-01-12T09:49:00,COMPLETED
689,16,10,232.2,CAD,2026-01-11T17:14:00,COMPLETED
550,19,8,19559.02,AUD,2026-01-12T16:44:00,PENDING
705,19,4,7946.38,JPY,2026-01-10T08:37:00,PENDING
145,5,4,18072.9,USD,2026-01-11T15:02:00,COMPLETED
226,3,17,10904.44,USD,2026-01-11T15:02:00,PENDING
706,16,20,3142.09,EUR,2026-01-10T10:31:00,COMPLETED
537,20,5,8405.57,EUR,2026-01-12T17:07:00,COMPLETED
485,6,10,19542.3,SGD,2026-01-10T12:50:00,COMPLETED
812,7,11,4051.08,CHF,2026-01-11T16:20:00,FAILED
436,18,15,208.99,JPY,2026-01-11T17:50:00,COMPLETED
968,20,8,10122.94,EUR,2026-01-10T17:48:00,COMPLETED
872,13,9,3074.57,AUD,2026-01-11T17:00:00,COMPLETED
303,18,7,15249.1,EUR,2026-01-12T15:33:00,FAILED
928,10,6,15795.89,JPY,2026-01-11T13:18:00,FAILED
410,4,14,13895.92,SGD,2026-01-10T11:24:00,COMPLETED
266,3,13,10133.62,JPY,2026-01-10T17:22:00,COMPLETED
976,12,6,305.08,SGD,2026-01-12T09:25:00,COMPLETED
983,20,11,3097.1,EUR,2026-01-10T16:49:00,COMPLETED
334,12,6,2842.17,SGD,2026-01-10T16:41:00,COMPLETED
141,10,14,13821.75,SGD,2026-01-11T11:24:00,COMPLETED
467,11,2,487.16,GBP,2026-01-10T16:55:00,COMPLETED
105,10,3,19878.67,EUR,2026-01-12T14:38:00,COMPLETED
106,20,8,15525.09,CAD,2026-01-11T15:19:00,COMPLETED
836,8,14,14059.33,CAD,2026-01-12T13:45:00,COMPLETED
478,8,6,9053.18,USD,2026-01-11T08:20:00,COMPLETED
778,13,17,12260.85,GBP,2026-01-11T16:24:00,COMPLETED
720,16,3,9387.78,USD,2026-01-11T16:47:00,COMPLETED
368,13,18,10156.92,CAD,2026-01-12T08:50:00,COMPLETED
190,13,14,5825.83,CAD,2026-01-10T13:10:00,PENDING
727,14,11,12187.85,JPY,2026-01-11T16:59:00,FAILED
167,15,3,17990.37,AUD,2026-01-12T10:04:00,COMPLETED
376,15,11,1390.13,USD,2026-01-12T09:01:00,COMPLETED
432,1,8,967.33,AUD,2026-01-11T10:11:00,COMPLETED
191,15,12,1808.19,EUR,2026-01-10T14:37:00,COMPLETED
701,4,17,13336.86,JPY,2026-01-11T14:43:00,COMPLETED
890,6,3,14149.49,CHF,2026-01-11T15:44:00,COMPLETED
163,19,11,364.83,CHF,2026-01-10T10:47:00,COMPLETED
74,8,13,13894.3,JPY,2026-01-10T14:26:00,COMPLETED
195,5,3,3584.07,SGD,2026-01-11T17:48:00,COMPLETED
672,16,4,9024.6,AUD,2026-01-11T13:23:00,COMPLETED
63,10,7,8626.27,AUD,2026-01-11T15:28:00,PENDING
2,18,3,11830.33,USD,2026-01-10T09:13:00,COMPLETED
552,13,5,16788.71,USD,2026-01-10T10:32:00,COMPLETED
636,14,12,2176.34,CAD,2026-01-12T17:16:00,COMPLETED
459,12,19,10072.75,CAD,2026-01-11T10:01:00,COMPLETED
891,7,5,12814.52,SGD,2026-01-11T11:11:00,PENDING
805,9,14,1781.62,JPY,2026-01-11T15:53:00,COMPLETED
312,18,13,10600.41,JPY,2026-01-10T08:19:00,COMPLETED
382,17,11,11959.57,CAD,2026-01-12T09:22:00,COMPLETED
406,7,5,17648.85,CHF,2026-01-10T12:05:00,PENDING
286,10,3,6959.95,SGD,2026-01-12T12:47:00,COMPLETED
693,6,5,5827.43,SGD,2026-01-12T15:17:00,PENDING
248,17,8,2471.18,JPY,2026-01-10T11:50:00,COMPLETED
729,10,20,375.23,GBP,2026-01-11T08:19:00,COMPLETED
326,7,11,6098.6,USD,2026-01-10T11:47:00,COMPLETED
211,20,5,11965.07,GBP,2026-01-10T10:53:00,PENDING
349,3,11,12123.12,CAD,2026-01-11T08:40:00,COMPLETED
296,1,11,15825.81,JPY,2026-01-10T17:54:00,PENDING
200,2,15,18185.55,JPY,2026-01-11T17:30:00,COMPLETED
279,7,1,8848.72,CAD,2026-01-10T14:44:00,COMPLETED
741,16,13,13062.36,JPY,2026-01-12T17:47:00,COMPLETED
176,5,16,4523.69,EUR,2026-01-11T16:23:00,COMPLETED
796,7,1,12830.34,CHF,2026-01-11T09:19:00,COMPLETED
426,2,10,13338.29,GBP,2026-01-10T08:45:00,COMPLETED
457,3,9,7691.15,CAD,2026-01-10T16:15:00,PENDING
340,20,17,5085.74,AUD,2026-01-11T14:05:00,COMPLETED
272,7,20,10206.99,USD,2026-01-10T08:08:00,FAILED
157,15,8,17116.23,EUR,2026-01-12T13:34:00,PENDING
28,9,16,4324.02,GBP,2026-01-12T17:36:00,COMPLETED
855,6,7,11576.26,AUD,2026-01-10T12:48:00,COMPLETED
118,6,11,8262.32,SGD,2026-01-11T14:52:00,FAILED
830,13,11,9911.19,USD,2026-01-10T11:52:00,COMPLETED
287,7,18,5459.1,CHF,2026-01-10T09:39:00,FAILED
893,12,14,141.17,JPY,2026-01-10T09:33:00,COMPLETED
299,9,11,6073.82,USD,2026-01-11T13:44:00,COMPLETED
172,12,5,13752.08,SGD,2026-01-10T09:53:00,COMPLETED
319,10,9,1266.1,GBP,2026-01-12T14:35:00,COMPLETED
132,4,15,2039.25,SGD,2026-01-10T10:26:00,PENDING
964,16,14,898.21,EUR,2026-01-10T16:37:00,COMPLETED
39,8,19,11910.66,EUR,2026-01-11T17:36:00,COMPLETED
69,18,8,18353.53,EUR,2026-01-11T10:51:00,COMPLETED
401,11,19,99.34,EUR,2026-01-12T15:40:00,PENDING
314,9,7,18751.34,EUR,2026-01-10T14:39:00,FAILED
91,15,14,16523.41,CHF,2026-01-11T11:53:00,COMPLETED
415,8,9,12910.18,JPY,2026-01-12T17:38:00,FAILED
816,18,15,1061.99,USD,2026-01-11T08:06:00,COMPLETED
304,12,3,18349.03,EUR,2026-01-10T16:57:00,COMPLETED
618,9,19,10909.78,GBP,2026-01-11T14:23:00,COMPLETED
869,16,4,2920.26,CAD,2026-01-10T17:41:00,COMPLETED
31,11,4,5010.69,JPY,2026-01-12T15:08:00,COMPLETED
714,6,1,12413.71,AUD,2026-01-12T11:20:00,FAILED
473,8,19,2127.0,SGD,2026-01-10T13:47:00,COMPLETED
526,3,5,12308.87,CAD,2026-01-11T14:30:00,COMPLETED
111,14,4,10914.02,GBP,2026-01-11T10:04:00,COMPLETED
709,12,15,14677.12,USD,2026-01-12T14:22:00,FAILED
17,18,1,13621.65,EUR,2026-01-12T16:48:00,COMPLETED
486,16,9,1868.18,CAD,2026-01-10T13:56:00,COMPLETED
331,18,19,11603.9,CAD,2026-01-11T10:12:00,COMPLETED
129,12,11,11060.75,CAD,2026-01-11T13:55:00,COMPLETED
833,10,14,14369.93,AUD,2026-01-10T17:00:00,PENDING
362,11,20,18948.21,JPY,2026-01-11T13:11:00,COMPLETED
259,18,10,12856.05,CHF,2026-01-11T11:51:00,PENDING
215,17,14,19327.05,JPY,2026-01-12T10:55:00,COMPLETED
67,19,7,14381.0,CAD,2026-01-11T14:15:00,COMPLETED
584,3,12,4462.9,JPY,2026-01-12T13:21:00,COMPLETED
297,13,14,10329.85,EUR,2026-01-11T09:11:00,COMPLETED
13,15,5,5334.36,JPY,2026-01-12T16:34:00,COMPLETED
143,1,13,5525.88,USD,2026-01-12T15:53:00,COMPLETED
912,6,15,17165.55,USD,2026-01-11T15:49:00,COMPLETED
629,4,1,4086.85,CAD,2026-01-10T17:06:00,COMPLETED
78,16,1,7807.7,CAD,2026-01-12T10:53:00,COMPLETED
996,19,13,6482.31,EUR,2026-01-11T09:44:00,PENDING
460,20,8,634.6,CHF,2026-01-10T15:33:00,COMPLETED
456,20,8,12963.2,SGD,2026-01-11T16:30:00,COMPLETED
26,11,1,11786.76,JPY,2026-01-12T11:00:00,COMPLETED
937,1,13,12369.56,JPY,2026-01-11T13:05:00,COMPLETED
343,1,6,1699.59,CAD,2026-01-12T13:36:00,COMPLETED
624,19,6,2737.74,USD,2026-01-12T10:03:00,COMPLETED
52,6,14,544.49,AUD,2026-01-11T11:17:00,COMPLETED
396,7,2,11422.98,CHF,2026-01-12T16:10:00,COMPLETED
34,7,13,18053.74,GBP,2026-01-11T08:24:00,COMPLETED
600,20,13,10766.18,EUR,2026-01-11T11:47:00,FAILED
652,19,9,13899.13,CAD,2026-01-12T15:49:00,COMPLETED
23,18,5,2611.41,SGD,2026-01-12T10:16:00,COMPLETED
977,17,3,2428.4,CAD,2026-01-11T17:06:00,FAILED
264,14,8,19255.58,GBP,2026-01-11T17:46:00,COMPLETED
73,10,8,5470.72,AUD,2026-01-12T09:08:00,COMPLETED
628,11,15,11950.84,EUR,2026-01-10T14:24:00,COMPLETED
160,7,3,16604.87,JPY,2026-01-12T11:52:00,COMPLETED
390,1,8,5877.19,CHF,2026-01-10T16:18:00,COMPLETED
545,3,12,16308.54,GBP,2026-01-10T14:25:00,COMPLETED
731,19,5,1931.03,SGD,2026-01-11T10:08:00,COMPLETED
678,20,13,5461.4,SGD,2026-01-11T17:33:00,COMPLETED
692,20,9,5729.3,CHF,2026-01-11T11:54:00,COMPLETED
781,7,1,12470.08,CHF,2026-01-10T15:31:00,COMPLETED
894,20,12,17261.48,JPY,2026-01-11T11:17:00,COMPLETED
797,17,18,6512.28,USD,2026-01-10T13:21:00,COMPLETED
843,18,19,7371.05,USD,2026-01-12T15:45:00,COMPLETED
899,11,14,4015.09,AUD,2026-01-10T09:20:00,COMPLETED
732,12,19,5034.65,CHF,2026-01-11T09:36:00,COMPLETED
793,17,16,9875.46,GBP,2026-01-12T11:45:00,COMPLETED
799,16,2,12930.76,SGD,2026-01-10T15:57:00,COMPLETED
100,9,19,19533.31,CHF,2026-01-10T11:18:00,COMPLETED
183,3,9,8890.1,CAD,2026-01-11T17:28:00,COMPLETED
186,2,1,4128.24,JPY,2026-01-10T12:18:00,COMPLETED
302,5,16,3106.05,AUD,2026-01-11T16:58:00,COMPLETED
468,3,12,14105.53,CAD,2026-01-12T09:21:00,COMPLETED
764,20,9,12131.81,JPY,2026-01-12T11:14:00,PENDING
607,8,14,5569.76,AUD,2026-01-10T13:56:00,COMPLETED
113,10,13,18856.39,SGD,2026-01-11T09:38:00,COMPLETED
619,3,17,5069.15,JPY,2026-01-12T14:22:00,COMPLETED
951,12,19,9635.69,CAD,2026-01-11T15:44:00,COMPLETED
225,1,20,7088.68,CAD,2026-01-10T09:33:00,COMPLETED
177,9,19,4561.87,CAD,2026-01-12T17:39:00,PENDING
626,10,3,4371.04,SGD,2026-01-11T10:14:00,COMPLETED
99,4,7,6345.18,GBP,2026-01-10T11:47:00,COMPLETED
837,13,14,10925.12,GBP,2026-01-11T10:12:00,COMPLETED
768,7,3,3582.71,SGD,2026-01-12T15:44:00,COMPLETED
307,14,15,11300.03,SGD,2026-01-12T12:46:00,COMPLETED
957,19,12,16475.13,USD,2026-01-10T16:18:00,COMPLETED
671,19,2,7998.12,GBP,2026-01-10T11:52:00,COMPLETED
715,3,18,16390.04,JPY,2026-01-12T15:49:00,COMPLETED
293,6,10,17541.03,USD,2026-01-11T17:38:00,COMPLETED
811,4,17,15335.29,CHF,2026-01-10T17:48:00,COMPLETED
466,16,1,6668.09,JPY,2026-01-10T13:45:00,COMPLETED
378,11,18,8556.07,SGD,2026-01-10T14:40:00,COMPLETED
889,20,13,15564.35,USD,2026-01-11T09:00:00,COMPLETED
33,18,1,19381.48,JPY,2026-01-10T14:31:00,COMPLETED
728,9,12,19234.95,SGD,2026-01-11T08:46:00,COMPLETED
895,7,4,15942.43,SGD,2026-01-11T10:10:00,PENDING
356,11,13,296.2,CAD,2026-01-11T09:46:00,COMPLETED
722,10,3,18894.84,EUR,2026-01-10T11:34:00,COMPLETED
32,6,9,9279.43,EUR,2026-01-11T16:06:00,COMPLETED
563,14,2,18536.2,EUR,2026-01-11T15:42:00,COMPLETED
458,18,1,19788.6,AUD,2026-01-11T16:50:00,COMPLETED
531,12,7,3339.43,CAD,2026-01-10T11:14:00,FAILED
360,7,15,2184.1,CHF,2026-01-10T14:21:00,PENDING
494,18,11,17139.65,SGD,2026-01-10T17:37:00,COMPLETED
877,13,4,12630.81,AUD,2026-01-11T09:56:00,PENDING
19,9,17,15251.15,EUR,2026-01-12T12:53:00,PENDING
424,18,11,7845.09,EUR,2026-01-11T14:46:00,COMPLETED
284,7,16,6374.96,AUD,2026-01-12T12:18:00,COMPLETED
430,16,15,10240.1,USD,2026-01-11T17:10:00,COMPLETED
213,8,15,12231.38,SGD,2026-01-10T16:15:00,COMPLETED
911,12,10,4819.29,EUR,2026-01-10T15:42:00,COMPLETED
53,4,13,17449.73,SGD,2026-01-10T11:52:00,COMPLETED
543,11,14,14783.88,EUR,2026-01-10T08:54:00,COMPLETED
171,13,14,14605.77,AUD,2026-01-11T13:42:00,COMPLETED
534,2,4,13088.67,USD,2026-01-10T09:26:00,COMPLETED
201,5,2,9037.94,AUD,2026-01-12T09:32:00,PENDING
496,4,19,15601.92,CHF,2026-01-12T13:56:00,COMPLETED
151,12,9,11711.97,AUD,2026-01-10T11:30:00,COMPLETED
104,13,16,1527.94,USD,2026-01-10T10:51:00,COMPLETED
532,5,7,14694.83,GBP,2026-01-10T13:45:00,PENDING
752,17,4,18082.25,SGD,2026-01-12T16:05:00,COMPLETED
589,7,11,10302.2,EUR,2026-01-10T16:34:00,COMPLETED
523,14,19,17862.26,SGD,2026-01-10T13:55:00,FAILED
936,4,16,18008.48,GBP,2026-01-12T16:07:00,COMPLETED
249,1,12,11102.73,AUD,2026-01-11T16:08:00,PENDING
228,4,19,14716.98,AUD,2026-01-10T08:22:00,COMPLETED
641,11,18,12299.81,USD,2026-01-10T14:40:00,COMPLETED
883,5,1,3486.37,USD,2026-01-11T09:29:00,PENDING
353,4,3,153.64,CHF,2026-01-11T13:48:00,COMPLETED
12,13,9,1370.46,AUD,2026-01-10T15:25:00,PENDING
449,10,9,16410.79,GBP,2026-01-10T14:54:00,COMPLETED
970,4,7,18413.52,SGD,2026-01-11T17:11:00,COMPLETED
76,19,1,17141.8,CAD,2026-01-11T08:22:00,COMPLETED
786,10,11,18411.67,USD,2026-01-10T14:11:00,COMPLETED
756,1,18,18984.87,JPY,2026-01-10T13:57:00,COMPLETED
346,19,5,15057.48,CAD,2026-01-10T12:10:00,COMPLETED
606,5,19,11358.89,AUD,2026-01-11T10:00:00,COMPLETED
965,16,4,18175.16,USD,2026-01-10T12:42:00,COMPLETED
583,6,17,1410.12,GBP,2026-01-11T16:34:00,COMPLETED
422,17,14,8500.33,CAD,2026-01-10T16:34:00,PENDING
870,15,9,2110.58,EUR,2026-01-10T17:46:00,COMPLETED
632,17,14,4628.25,SGD,2026-01-11T13:37:00,FAILED
948,15,8,585.46,USD,2026-01-10T12:19:00,PENDING
108,7,9,13225.54,GBP,2026-01-10T10:35:00,COMPLETED
14,19,14,17961.57,CAD,2026-01-11T11:08:00,COMPLETED
536,1,10,8446.39,EUR,2026-01-12T16:17:00,PENDING
780,2,14,6195.84,SGD,2026-01-11T10:07:00,COMPLETED
828,4,19,11941.71,AUD,2026-01-12T09:52:00,COMPLETED
